2024-02-12 22:24:00.461 [main] WARN  SETUP - writter replaced
2024-02-12 22:24:00.466 [main] INFO   - [PrintWrapper{install:26}]: test replace from net.home.main.MainFrame.<clinit>(MainFrame.java:73)
2024-02-12 22:24:02.393 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:24:02.394 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.1
2024-02-12 22:24:02.394 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.2
2024-02-12 22:24:02.394 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.3
2024-02-12 22:24:02.395 [AWT-EventQueue-0] INFO   - [ModifiedQueue{run:54}]: x
2024-02-12 22:24:02.395 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 0
2024-02-12 22:24:02.396 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:24:02.396 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.12
2024-02-12 22:24:02.396 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 1
2024-02-12 22:24:02.397 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.11
2024-02-12 22:24:02.397 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 2
2024-02-12 22:24:02.397 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.10
2024-02-12 22:24:02.397 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 3
2024-02-12 22:24:02.398 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.9
2024-02-12 22:24:02.398 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 4
2024-02-12 22:24:02.398 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.8
2024-02-12 22:24:02.399 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 5
2024-02-12 22:24:02.399 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.7
2024-02-12 22:24:02.399 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 6
2024-02-12 22:24:02.400 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.6
2024-02-12 22:24:02.400 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 7
2024-02-12 22:24:02.400 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.5
2024-02-12 22:24:02.401 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 8
2024-02-12 22:24:02.401 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.4
2024-02-12 22:24:02.401 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 9
2024-02-12 22:24:02.402 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.3
2024-02-12 22:24:02.402 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 10
2024-02-12 22:24:02.402 [AWT-EventQueue-0] WARN  ModifiedQueue@563011863 - take too long net.home.main.simple.TestScreen$$Lambda$238/0x0000000800e02840@3a9291d2
2024-02-12 22:24:02.403 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.2
2024-02-12 22:24:02.403 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 11
2024-02-12 22:24:02.404 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.1
2024-02-12 22:24:02.404 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 12
2024-02-12 22:24:02.404 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 13
2024-02-12 22:24:02.405 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 14
2024-02-12 22:25:55.606 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:25:55.607 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.1
2024-02-12 22:26:17.525 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.2
2024-02-12 22:27:00.185 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.3
2024-02-12 22:27:00.186 [AWT-EventQueue-0] INFO   - [ModifiedQueue{run:54}]: x
2024-02-12 22:27:00.186 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 0
2024-02-12 22:27:00.187 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:27:00.188 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.12
2024-02-12 22:27:00.188 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 1
2024-02-12 22:27:00.189 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.11
2024-02-12 22:27:00.189 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 2
2024-02-12 22:27:00.190 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.10
2024-02-12 22:27:00.191 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 3
2024-02-12 22:27:00.191 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.9
2024-02-12 22:27:00.192 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 4
2024-02-12 22:27:00.193 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.8
2024-02-12 22:27:00.193 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 5
2024-02-12 22:27:00.194 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.7
2024-02-12 22:27:00.194 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 6
2024-02-12 22:27:00.195 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.6
2024-02-12 22:27:00.196 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 7
2024-02-12 22:27:00.196 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.5
2024-02-12 22:27:00.197 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 8
2024-02-12 22:27:00.197 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.4
2024-02-12 22:27:00.198 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 9
2024-02-12 22:27:00.199 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.3
2024-02-12 22:27:00.201 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 10
2024-02-12 22:27:00.201 [AWT-EventQueue-0] WARN  ModifiedQueue@1648531196 - take too long net.home.main.simple.TestScreen$$Lambda$238/0x0000000800e02840@4cf09767
2024-02-12 22:27:00.202 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.2
2024-02-12 22:27:00.202 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 11
2024-02-12 22:27:00.203 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.1
2024-02-12 22:27:00.204 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 12
2024-02-12 22:27:00.205 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 13
2024-02-12 22:27:00.205 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 14
2024-02-12 22:27:23.103 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:27:23.103 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.1
2024-02-12 22:27:23.104 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.2
2024-02-12 22:27:23.104 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.3
2024-02-12 22:27:23.104 [AWT-EventQueue-0] INFO   - [ModifiedQueue{run:54}]: x
2024-02-12 22:27:32.366 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:27:32.367 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.1
2024-02-12 22:27:32.367 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.2
2024-02-12 22:27:32.368 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.3
2024-02-12 22:27:32.368 [AWT-EventQueue-0] INFO   - [ModifiedQueue{run:54}]: x
2024-02-12 22:28:17.006 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:28:17.006 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.1
2024-02-12 22:28:17.006 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.2
2024-02-12 22:28:17.007 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.3
2024-02-12 22:28:17.007 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:28:46.879 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:28:46.879 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.1
2024-02-12 22:28:46.879 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.2
2024-02-12 22:28:46.879 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.3
2024-02-12 22:28:46.880 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:28:54.630 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:29:12.867 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.1
2024-02-12 22:29:12.872 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.2
